GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot,com.nnk.springboot.controllers,LoginController,37,0,0,0,10,0,4,0,4,0
springboot,com.nnk.springboot.controllers,HomeController,7,0,0,0,3,0,3,0,3,0
springboot,com.nnk.springboot.controllers,CurveController,16,89,4,6,1,26,4,9,1,7
springboot,com.nnk.springboot.controllers,UserController,16,111,5,9,1,31,5,10,1,7
springboot,com.nnk.springboot.controllers,BidListController,16,91,4,6,1,27,4,9,1,7
springboot,com.nnk.springboot.controllers,RatingController,16,89,4,6,1,26,4,9,1,7
springboot,com.nnk.springboot.controllers,TradeController,16,89,4,6,1,26,4,9,1,7
springboot,com.nnk.springboot.controllers,RuleNameController,16,89,4,6,1,26,4,9,1,7
springboot,com.nnk.springboot.services,CustomUserDetailsService,0,70,0,6,0,19,0,6,0,3
springboot,com.nnk.springboot.services,RuleNameService,0,78,0,0,0,19,0,7,0,7
springboot,com.nnk.springboot.services,UserService,0,115,2,6,0,26,2,11,0,9
springboot,com.nnk.springboot.services,BidListService,0,136,0,0,0,34,0,7,0,7
springboot,com.nnk.springboot.services,TradeService,0,132,0,0,0,33,0,7,0,7
springboot,com.nnk.springboot.services,RatingService,0,70,0,0,0,17,0,7,0,7
springboot,com.nnk.springboot.services,CurveService,0,74,0,0,0,18,0,7,0,7
springboot,com.nnk.springboot.config,SecurityConfig,88,0,0,0,19,0,6,0,6,0
springboot,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
springboot,com.nnk.springboot.domain,Rating,18,38,0,0,7,17,1,11,1,11
springboot,com.nnk.springboot.domain,RuleName,24,52,0,0,9,23,1,15,1,15
springboot,com.nnk.springboot.domain,BidList,75,151,0,0,26,66,3,43,3,43
springboot,com.nnk.springboot.domain,Trade,66,150,0,0,23,65,1,43,1,43
springboot,com.nnk.springboot.domain,User,18,38,0,0,7,17,1,11,1,11
springboot,com.nnk.springboot.domain,CurvePoint,21,45,0,0,8,20,1,13,1,13
